X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -72.62500    	    1786.812    	   0.1972221    
   -72.37500    	    1786.812    	   0.9555557    
   -72.62500    	    1786.938    	   0.1305556    
   -72.37500    	    1786.938    	   0.9592592    
   -72.62500    	    1787.062    	   0.0000000E+00
   -72.37500    	    1787.062    	   5.9259269E-02
   -72.62500    	    1787.188    	   0.0000000E+00
   -72.37500    	    1787.188    	   1.8518519E-02
   -72.62500    	    1787.312    	   0.1388889    
   -72.37500    	    1787.312    	   0.0000000E+00
   -72.62500    	    1787.438    	   0.1083333    
   -72.37500    	    1787.438    	   1.1111111E-02
   -72.62500    	    1787.562    	   0.0000000E+00
   -72.37500    	    1787.562    	   4.4444446E-02
   -72.62500    	    1787.688    	    1.058333    
   -72.37500    	    1787.688    	    2.785185    
   -72.62500    	    1787.812    	    1.400000    
   -72.37500    	    1787.812    	    1.837037    
