Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    23.37500    	    3182.562    	    1.888889    
    23.62500    	    3182.562    	    1.225000    
    23.37500    	    3182.688    	    4.255556    
    23.62500    	    3182.688    	    4.050001    
    23.37500    	    3182.812    	    5.666667    
    23.62500    	    3182.812    	    6.249999    
    23.37500    	    3182.938    	    1.666666    
    23.62500    	    3182.938    	    2.175000    
    23.37500    	    3183.062    	    2.840741    
    23.62500    	    3183.062    	    4.477778    
    23.37500    	    3183.188    	    4.737037    
    23.62500    	    3183.188    	    8.711113    
    23.37500    	    3183.312    	    5.448148    
    23.62500    	    3183.312    	    6.705555    
    23.37500    	    3183.438    	    3.244444    
    23.62500    	    3183.438    	    4.827777    
    23.37500    	    3183.562    	   0.9185185    
    23.62500    	    3183.562    	    1.125000    
