"","Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge","RainfallCumulativeCMORPHDay0","RainfallCumulativeCMORPHDay1","RainfallCumulativeCMORPHDay2","RainfallCumulativeCMORPHDay3","RainfallCumulativeCMORPHDay4"
"61","BRET1993","1993-08-10",11.1,-83.8,40,1002,NA,NA,NA,NA,NA,NA,NA
"62","CINDY1993","1993-08-14",14.5,-60.9,35,1012,116.84,NA,NA,NA,NA,NA,NA
"63","CINDY1993","1993-08-16",18.3,-71,30,1009,37.592,NA,NA,NA,NA,NA,NA
"64","GERT1993","1993-09-15",11.8,-83.8,35,1005,804.926,3,NA,NA,NA,NA,NA
"65","GERT1993","1993-09-18",17.3,-88.1,35,1000,NA,3,NA,NA,NA,NA,NA
"66","GERT1993","1993-09-20",21.2,-97.5,85,970,NA,3,NA,NA,NA,NA,NA
"67","ALBERTO1994","1994-07-03",30.4,-86.5,55,993,707.39,NA,NA,NA,NA,NA,NA
"68","UNNAMED1994","1994-07-20",33.2,-79.2,30,1015,NA,3.28,NA,NA,NA,NA,NA
"69","BERYL1994","1994-08-16",30,-85.6,50,1000,443.23,NA,NA,NA,NA,NA,NA
"70","UNNAMED1994","1994-08-31",22.4,-98,30,1007,NA,3.28,NA,NA,NA,NA,NA
"71","DEBBY1994","1994-09-10",14,-61,55,1007,NA,4.49,NA,NA,NA,NA,NA
"72","UNNAMED1994","1994-09-25",16.6,-88.4,30,1004,NA,3.28,NA,NA,NA,NA,NA
"73","GORDON1994","1994-11-10",14,-83.4,30,1008,408.94,NA,NA,NA,NA,NA,NA
"74","GORDON1994","1994-11-13",17.9,-76.8,35,1000,NA,NA,NA,NA,NA,NA,NA
"75","GORDON1994","1994-11-13",20,-74.9,40,1000,NA,NA,NA,NA,NA,NA,NA
"76","GORDON1994","1994-11-15",24.6,-81.7,45,999,NA,NA,NA,NA,NA,NA,NA
"77","GORDON1994","1994-11-16",26.5,-81.9,45,996,NA,NA,NA,NA,NA,NA,NA
"78","GORDON1994","1994-11-21",28.5,-80.6,25,1011,NA,NA,NA,NA,NA,NA,NA
"79","ALLISON1995","1995-06-05",29.9,-84.4,60,991,NA,3,NA,NA,NA,NA,NA
"80","ALLISON1995","1995-06-05",30.1,-84.2,55,991,NA,3,NA,NA,NA,NA,NA
"81","BARRY1995","1995-07-09",45.3,-61,50,990,NA,4,NA,NA,NA,NA,NA
"82","BARRY1995","1995-07-09",45.6,-60.8,45,990,NA,4,NA,NA,NA,NA,NA
"83","DEAN1995","1995-07-31",29.2,-95.3,40,999,NA,18,NA,NA,NA,NA,NA
"84","ERIN1995","1995-08-02",27.7,-80.3,75,984,508,3.1,NA,NA,NA,NA,NA
"85","ERIN1995","1995-08-03",30.3,-87.2,75,973,NA,3.1,NA,NA,NA,NA,NA
"86","UNNAMED1995","1995-08-06",21.5,-97.4,30,1002,NA,3.28,NA,NA,NA,NA,NA
"87","GABRIELLE1995","1995-08-11",23.7,-97.8,60,988,493.776,NA,NA,NA,NA,NA,NA
"88","JERRY1995","1995-08-23",27,-80.2,35,1006,NA,NA,NA,NA,NA,NA,NA
"89","IRIS1995","1995-08-27",17,-61.9,50,995,NA,15,NA,NA,NA,NA,NA
"90","IRIS1995","1995-08-27",17.7,-62,55,993,NA,15,NA,NA,NA,NA,NA
"91","LUIS","1995-09-05",17.5,-61.7,115,945,NA,NA,NA,NA,NA,NA,NA
"92","MARILYN","1995-09-14",15.5,-61.3,70,984,508,NA,NA,NA,NA,NA,NA
"93","OPAL","1995-10-04",30.3,-87.1,100,942,493.268,NA,NA,NA,NA,NA,NA
"94","ROXANNE","1995-10-11",20,-87.6,100,958,675.894,10,NA,NA,NA,NA,NA
"95","ARTHUR1996","1996-06-20",34.7,-76.4,35,1005,NA,NA,NA,NA,NA,NA,NA
"96","BERTHA1996","1996-07-12",34.3,-77.8,90,974,233.68,NA,NA,NA,NA,NA,NA
"97","CESAR","1996-07-28",12.2,-83.9,75,985,NA,NA,NA,NA,NA,NA,NA
"98","DOLLY1996","1996-08-20",19.1,-87.7,65,999,950.214,4,NA,NA,NA,NA,NA
"99","DOLLY1996","1996-08-23",21.6,-97.7,70,989,NA,4,NA,NA,NA,NA,NA
"100","FRAN","1996-09-06",33.9,-78,100,954,406.4,3.28,NA,NA,NA,NA,NA
"101","HORTENSE","1996-09-10",18,-66.9,70,989,596.392,NA,NA,NA,NA,NA,NA
"102","HORTENSE","1996-09-15",44.8,-62.5,70,978,NA,NA,NA,NA,NA,NA,NA
"103","JOSEPHINE","1996-10-08",30,-83.9,60,983,289.306,NA,NA,NA,NA,NA,NA
"104","KYLE1996","1996-10-12",16,-88.1,30,1008,145.034,NA,NA,NA,NA,NA,NA
"105","LILI1996","1996-10-18",22.3,-82,85,975,306.832,6,NA,NA,NA,NA,NA
"106","DANNY1997","1997-07-18",29.3,-89.7,65,989,NA,NA,NA,NA,NA,NA,NA
"107","DANNY1997","1997-07-19",30.2,-88.1,70,984,NA,NA,NA,NA,NA,NA,NA
"108","DANNY1997","1997-07-19",30.4,-87.9,65,986,NA,NA,NA,NA,NA,NA,NA
"109","CHARLEY1998","1998-08-22",27.8,-97.1,40,1000,NA,13.12,NA,NA,NA,NA,NA
"110","BONNIE1998","1998-08-27",34.4,-77.7,95,964,NA,1.9,NA,NA,NA,NA,NA
"111","EARL1998","1998-09-03",30.1,-85.7,70,987,415.544,NA,NA,NA,NA,NA,NA
"112","FRANCES1998","1998-09-11",28.2,-96.9,45,990,1119.124,NA,NA,NA,NA,NA,NA
"113","HERMINE1998","1998-09-20",29.1,-90.9,35,1000,359.156,3.4,NA,NA,NA,NA,NA
"114","GEORGES","1998-09-21",17,-61.7,100,966,976.884,10,NA,NA,NA,NA,NA
"115","GEORGES","1998-09-21",17.2,-62.6,100,966,774.954,10,NA,NA,NA,NA,NA
"116","GEORGES","1998-09-21",18.1,-65.8,100,968,NA,10,NA,NA,NA,NA,NA
"117","GEORGES","1998-09-22",18.2,-68.7,105,962,NA,10,NA,NA,NA,NA,NA
"118","GEORGES","1998-09-23",20.1,-74.5,65,993,NA,10,NA,NA,NA,NA,NA
"119","GEORGES","1998-09-25",24.5,-81.8,90,981,NA,10,NA,NA,NA,NA,NA
"120","GEORGES","1998-09-28",30.4,-88.9,90,964,NA,10,NA,NA,NA,NA,NA
"121","MITCH","1998-10-29",15.9,-85.7,70,987,427.99,11.81,NA,NA,NA,NA,NA
"122","MITCH","1998-11-04",20.1,-90.5,35,998,284.48,11.81,NA,NA,NA,NA,NA
"123","MITCH","1998-11-05",26.2,-81.9,50,989,NA,11.81,NA,NA,NA,NA,NA
