"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","point_max","location"
"115",113,"GABRIELLE","AL072007","2007-09-09 15:00:00","34.8N","76.4W",0,50,1005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2007",NA,NA
"116",114,"GABRIELLE","AL081995","1995-08-11 20:00:00","23.7N","97.8W",0,60,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995",NA,NA
"117",115,"GABRIELLE","AL082001","2001-09-14 12:00:00","27.1N","82.6W",0,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001",NA,NA
"118",116,"GASTON","AL072004","2004-08-29 14:00:00","33.0N","79.6W",0,65,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2004",NA,NA
"119",117,"GEORGES","AL071998","1998-09-21 04:00:00","17.0N","61.7W",0,105,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1998",NA,NA
"120",118,"GERT","AL072005","2005-07-25 00:00:00","21.8N","97.6W",75,40,1005,75,75,75,0,0,0,0,0,0,0,0,55.201,"2005",NA,NA
"121",119,"GERT","AL081993","1993-09-15 18:00:00","11.8N","83.8W",0,85,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1993",31.69,"Gallinas/Aquismon, MX"
"122",120,"GILBERT","AL081988","1988-09-12 17:00:00","17.8N","76.8W",0,140,900,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988",NA,NA
"123",121,"GLORIA","AL091985","1985-09-27 05:00:00","35.2N","73.3W",0,90,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985",NA,NA
"124",122,"GONZALO","AL082014","2014-10-13 14:00:00","17.1N","61.8W",150,95,952,140,150,110,80,80,60,60,50,50,50,40,391.546,"2014",NA,NA
"125",123,"GORDON","AL072018","2018-09-03 11:00:00","25.0N","80.5W",70,60,996,70,50,50,20,20,0,0,0,0,0,0,0,"2018",12.73,"Pensacola 5 NNW, FL"
"126",124,"GORDON","AL082012","2012-08-20 05:00:00","37.0N","25.1W",100,65,984,70,100,70,40,40,40,40,20,20,20,20,0,"2012",NA,NA
"127",125,"GORDON","AL112000","2000-09-18 03:00:00","29.3N","83.2W",0,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2000",NA,NA
"128",126,"GORDON","AL121994","1994-11-10 06:00:00","14.0N","74.9W",0,45,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1994",NA,NA
"129",127,"GRACE","AL112003","2003-08-31 11:00:00","29.4N","95.1W",0,35,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003",NA,NA
"130",128,"GUSTAV","AL072008","2008-08-26 18:00:00","17.9N","72.8W",175,135,941,175,175,135,130,130,70,75,60,60,60,30,1132.253,"2008",NA,NA
"131",129,"GUSTAV","AL082002","2002-09-12 04:00:00","45.6N","58.6W",0,80,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002",NA,NA
"132",130,"HANNA","AL082008","2008-09-02 00:00:00","21.7N","71.8W",250,75,977,250,200,200,90,90,60,75,40,40,40,40,481.01,"2008",NA,NA
"133",131,"HANNA","AL092002","2002-09-14 08:00:00","29.1N","88.4W",0,50,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002",NA,NA
"134",132,"HANNA","AL092014","2014-10-27 16:00:00","14.9N","83.3W",70,35,1005,0,0,70,0,0,0,0,0,0,0,0,0,"2014",NA,NA
"135",133,"HARVEY","AL082011","2011-08-20 17:00:00","17.0N","88.3W",70,55,995,0,0,70,0,0,0,0,0,0,0,0,0,"2011",NA,NA
"136",134,"HARVEY","AL092017","2017-08-18 10:00:00","13.1N","59.6W",120,115,937,120,100,70,60,60,40,40,35,35,35,25,256.218,"2017",60.58,"Nederland 1.5 SW, TX"
"137",135,"HARVEY","AL101999","1999-09-21 17:00:00","25.9N","81.7W",0,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999",NA,NA
"138",136,"HELENE","AL072012","2012-08-18 12:00:00","21.9N","97.7W",0,30,1008,0,0,0,0,0,0,0,0,0,0,0,47.747,"2012",NA,NA
"139",137,"HELENE","AL122000","2000-09-22 12:00:00","30.5N","86.6W",0,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2000",NA,NA
"140",138,"HENRI","AL101985","1985-09-24 21:00:00","40.8N","71.8W",0,35,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985",NA,NA
"141",139,"HENRI","AL122003","2003-09-06 09:00:00","27.9N","82.8W",0,30,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003",NA,NA
"142",140,"HERMINE","AL081998","1998-09-20 05:00:00","29.1N","90.9W",0,35,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1998",14.14,"Fort Lauderdale, FL"
"143",141,"HERMINE","AL082004","2004-08-31 06:00:00","41.5N","70.9W",25,35,1012,0,25,0,0,0,0,0,0,0,0,0,39.97,"2004",NA,NA
"144",142,"HERMINE","AL092016","2016-09-02 05:00:00","30.1N","84.1W",150,70,981,130,150,60,70,70,40,30,30,30,30,0,0,"2016",22.36,"Tarpon Springs 3 ESE, FL"
"145",143,"HERMINE","AL102010","2010-09-07 02:00:00","25.3N","97.4W",90,60,989,90,60,30,20,20,0,0,0,0,0,0,0,"2010",NA,NA
"146",144,"HORTENSE","AL081996","1996-09-10 06:00:00","18.0N","62.5W",0,70,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996",23.48,"Cayey 1 NW, PR"
"147",145,"HUGO","AL111989","1989-09-17 05:00:00","16.3N","61.3W",0,120,934,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989",NA,NA
"148",146,"HUMBERTO","AL092007","2007-09-13 07:00:00","29.6N","94.3W",0,80,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2007",14.13,"East Bay Bayou/Jones &
  Allen, TX"
"149",147,"IDA","AL112009","2009-11-05 12:00:00","12.9N","83.6W",60,70,985,60,50,50,30,30,15,25,15,15,15,10,260.899,"2009",NA,NA
"150",148,"IGOR","AL112010","2010-09-21 15:00:00","46.6N","53.2W",400,75,950,400,350,350,200,200,140,160,75,75,75,75,0,"2010",NA,NA
"151",149,"IKE","AL092008","2008-09-07 13:00:00","21.0N","73.2W",225,115,945,225,200,170,150,150,80,90,110,110,110,50,0,"2008",NA,NA
"152",150,"IMELDA","AL112019","2019-09-17 17:00:00","28.9N","95.4W",40,40,1003,0,40,0,0,0,0,0,0,0,0,0,0,"2019",44.29,"Fannett 2 SSW, TX"
"153",151,"INGRID","AL102013","2013-09-16 11:00:00","23.7N","97.7W",70,55,991,70,60,30,30,30,0,0,0,0,0,0,0,"2013",NA,NA
