"Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge"
"124","UNNAMED",1999-07-03,20.5,-97,30,1004,NA,3.28
"125","BRET",1999-08-23,26.9,-97.4,100,951,NA,NA
"126","DENNIS",1999-08-28,26.6,-76.8,75,976,NA,NA
"127","DENNIS",1999-09-04,34.8,-76.5,60,984,NA,NA
"128","UNNAMED",1999-09-06,23.2,-97.7,30,1006,NA,3.28
"129","FLOYD",1999-09-14,25.4,-76.3,105,930,NA,5.28
"130","FLOYD",1999-09-14,26.3,-77.1,110,932,NA,5.28
"131","FLOYD",1999-09-16,33.8,-78,90,956,NA,5.28
"132","HARVEY",1999-09-21,25.9,-81.7,50,999,NA,NA
"133","IRENE",1999-10-14,21.3,-82.9,60,997,NA,7.09
"134","IRENE",1999-10-14,22.7,-82.5,60,986,NA,7.09
"135","IRENE",1999-10-15,24.6,-81.6,65,987,NA,7.09
"136","IRENE",1999-10-15,25.3,-81.1,70,987,NA,7.09
"137","JOSE",1999-10-20,17.1,-61.7,80,982,NA,NA
"138","JOSE",1999-10-21,18.4,-64.6,60,996,NA,NA
"139","KATRINA",1999-10-30,13.8,-83.4,35,999,NA,4
"140","LENNY",1999-11-17,17.4,-64.8,135,933,NA,17.5
"141","LENNY",1999-11-18,18,-63.3,110,966,NA,17.5
"142","LENNY",1999-11-19,18.1,-63.1,85,975,NA,17.5
"143","LENNY",1999-11-19,18,-62.9,75,979,NA,17.5
"144","LENNY",1999-11-20,17.3,-61.8,55,994,NA,17.5
"145","DEBBY",2000-08-22,17.5,-61.7,65,993,NA,4.49
"146","DEBBY",2000-08-22,17.9,-62.8,65,993,NA,4.49
"147","DEBBY",2000-08-22,18.5,-64.4,65,994,NA,4.49
"148","UNNAMED",2000-09-09,29.9,-93.9,25,1009,NA,3.28
"149","GORDON",2000-09-18,29.3,-83.2,55,991,NA,NA
"150","HELENE",2000-09-22,30.5,-86.6,35,1006,NA,1
"151","KEITH",2000-10-02,17.9,-88,65,988,NA,5
"152","KEITH",2000-10-03,17.9,-88.2,60,990,NA,5
"153","KEITH",2000-10-05,22.6,-97.9,80,980,NA,5
"154","ALLISON",2001-06-05,28.9,-95.3,45,1003,NA,3
"155","ALLISON",2001-06-11,29.6,-91.6,30,1004,NA,3
"156","BARRY",2001-08-06,30.4,-86.3,60,990,NA,4
"157","CHANTAL",2001-08-21,18.1,-87.8,60,999,NA,NA
"158","GABRIELLE",2001-09-14,27.1,-82.6,60,983,NA,NA
"159","UNNAMED",2001-09-20,13.9,-83.5,30,1006,NA,3.28
"160","IRIS",2001-10-09,16.3,-88.4,125,948,NA,15
"161","KAREN",2001-10-15,44.2,-64.8,40,998,NA,NA
"162","MICHELLE",2001-11-04,21.5,-81.8,120,949,NA,10
"163","MICHELLE",2001-11-04,22.1,-81.2,115,950,NA,10
"164","MICHELLE",2001-11-05,24.3,-78,80,974,NA,10
"165","MICHELLE",2001-11-05,25.4,-76.4,75,980,NA,10
"166","BERTHA",2002-08-05,29.4,-89.3,35,1008,NA,NA
"167","BERTHA",2002-08-09,27.3,-97.4,20,1011,NA,NA
"168","EDOUARD",2002-09-05,29.4,-81.1,35,1009,NA,NA
"169","FAY",2002-09-07,28.5,-96.3,50,999,NA,NA
"170","GUSTAV",2002-09-12,45.6,-60.4,80,960,NA,4.43
"171","GUSTAV",2002-09-12,47.6,-58.6,65,963,NA,4.43
"172","HANNA",2002-09-14,29.1,-89.1,50,1003,NA,NA
"173","HANNA",2002-09-14,30.4,-88.4,50,1002,NA,NA
"174","ISIDORE",2002-09-20,22,-84.1,75,964,NA,8.3
"175","ISIDORE",2002-09-22,21.3,-89.3,110,936,NA,8.3
"176","ISIDORE",2002-09-26,29.1,-90.3,55,984,NA,8.3
"177","KYLE",2002-10-11,33,-79.5,35,1011,NA,NA
"178","KYLE",2002-10-11,33.9,-78.4,35,1011,NA,NA
"179","LILI",2002-09-30,19.7,-79.8,65,986,NA,6
"180","LILI",2002-10-01,21.3,-83,90,971,NA,6
"181","LILI",2002-10-01,22.1,-84,90,971,NA,6
"182","LILI",2002-10-03,29.5,-92.2,80,963,NA,6
"183","UNNAMED",2002-10-16,22,-80.7,25,1006,NA,3.28
"184","BILL",2003-06-30,29.3,-91,50,997,230.3402826807,3.1
"185","CLAUDETTE",2003-07-11,20.8,-86.9,50,1009,19.1874983184,3
"186","CLAUDETTE",2003-07-15,28.3,-96.2,80,979,104.1347235744,3
"187","UNNAMED",2003-07-26,31.5,-81.3,25,1018,45.364586868,3.28
"188","ERIKA",2003-08-16,25.3,-97.4,65,986,70.5916702338,NA
"189","GRACE",2003-08-31,29.4,-95.1,35,1007,NA,2
"190","HENRI",2003-09-06,27.9,-82.8,30,1006,4.1638889904,NA
"191","ISABEL",2003-09-18,34.9,-76.2,90,957,72.800003445,16.2
"192","JUAN",2003-09-29,44.4,-63.8,85,973,35.997222042,4.92
"193","LARRY",2003-10-05,18.4,-93.5,50,996,91.989583098,NA
"194","ODETTE",2003-12-06,17.8,-71.5,50,995,230.2235928,NA
"195","BONNIE",2004-08-12,29.6,-85.1,40,1002,NA,1.9
"196","CHARLEY",2004-08-13,22.7,-82.6,105,966,117.5472297957,13.12
"197","CHARLEY",2004-08-13,26.6,-82.2,130,941,132.213887658,13.12
"198","CHARLEY",2004-08-13,26.9,-82.1,125,942,NA,13.12
"199","CHARLEY",2004-08-14,33,-79.4,70,992,95.1416537661,13.12
