"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","name_lower"
"221",221,"GORDON","AL121994","1994-11-13 13:00:00","20.0N","74.9W",0,40,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1994","gordon"
"222",222,"GORDON","AL121994","1994-11-15 13:00:00","24.6N","81.7W",0,45,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1994","gordon"
"223",223,"GORDON","AL121994","1994-11-16 13:00:00","26.5N","81.9W",0,45,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1994","gordon"
"224",224,"GORDON","AL121994","1994-11-21 03:00:00","28.5N","80.6W",0,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1994","gordon"
"225",225,"GRACE","AL112003","2003-08-31 11:00:00","29.4N","95.1W",0,35,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003","grace"
"226",226,"GUSTAV","AL072008","2008-08-26 18:00:00","18.1N","72.8W",45,70,992,45,45,30,25,25,15,15,15,15,15,10,571.47,"2008","gustav"
"227",227,"GUSTAV","AL072008","2008-08-28 18:00:00","18.0N","76.2W",60,60,984,60,40,40,20,20,0,0,0,0,0,0,412.933,"2008","gustav"
"228",228,"GUSTAV","AL072008","2008-08-29 02:00:00","17.9N","77.2W",90,60,987,90,80,50,30,30,0,0,0,0,0,0,0,"2008","gustav"
"229",229,"GUSTAV","AL072008","2008-08-30 18:00:00","21.6N","82.5W",150,125,943,150,120,120,100,100,45,60,60,60,60,30,147.85,"2008","gustav"
"230",230,"GUSTAV","AL072008","2008-08-30 22:00:00","22.4N","83.1W",155,135,941,155,120,125,100,100,50,65,60,60,60,30,0,"2008","gustav"
"231",231,"GUSTAV","AL072008","2008-09-01 15:00:00","29.2N","90.7W",175,90,954,175,175,135,130,130,70,75,35,35,35,30,0,"2008","gustav"
"232",232,"GUSTAV","AL082002","2002-09-12 04:00:00","45.6N","60.4W",0,80,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","gustav"
"233",233,"GUSTAV","AL082002","2002-09-12 09:00:00","47.6N","58.6W",0,65,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","gustav"
"234",234,"HANNA","AL082008","2008-09-02 00:00:00","21.8N","72.3W",150,75,977,150,150,100,90,90,60,60,40,40,40,40,481.01,"2008","hanna"
"235",235,"HANNA","AL082008","2008-09-03 19:00:00","21.7N","71.8W",250,50,994,250,200,200,85,85,0,75,0,0,0,0,0,"2008","hanna"
"236",236,"HANNA","AL082008","2008-09-06 07:00:00","33.8N","78.7W",175,60,981,175,175,0,60,60,20,0,0,0,0,0,0,"2008","hanna"
"237",237,"HANNA","AL092002","2002-09-14 08:00:00","29.1N","89.1W",0,50,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","hanna"
"238",238,"HANNA","AL092002","2002-09-14 15:00:00","30.4N","88.4W",0,50,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2002","hanna"
"239",239,"HANNA","AL092014","2014-10-27 16:00:00","14.9N","83.3W",70,35,1005,0,0,70,0,0,0,0,0,0,0,0,0,"2014","hanna"
"240",240,"HARVEY","AL082011","2011-08-20 17:00:00","17.0N","88.3W",0,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2011","harvey"
"241",241,"HARVEY","AL082011","2011-08-22 02:00:00","18.7N","95.2W",70,35,1005,0,0,70,0,0,0,0,0,0,0,0,0,"2011","harvey"
"242",242,"HARVEY","AL092017","2017-08-18 10:00:00","13.1N","59.6W",50,40,1004,50,0,50,0,0,0,0,0,0,0,0,0,"2017","harvey"
"243",243,"HARVEY","AL092017","2017-08-18 15:00:00","13.2N","61.2W",60,40,1004,60,0,60,0,0,0,0,0,0,0,0,0,"2017","harvey"
"244",244,"HARVEY","AL092017","2017-08-26 03:00:00","28.0N","96.9W",120,115,937,120,90,70,60,60,40,40,35,35,35,25,0,"2017","harvey"
"245",245,"HARVEY","AL092017","2017-08-26 06:00:00","28.2N","97.1W",120,105,948,120,100,70,50,50,30,40,30,30,30,25,256.218,"2017","harvey"
"246",246,"HARVEY","AL092017","2017-08-30 08:00:00","29.8N","93.5W",70,40,991,60,60,70,0,0,0,0,0,0,0,0,0,"2017","harvey"
"247",247,"HARVEY","AL101999","1999-09-21 17:00:00","25.9N","81.7W",0,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","harvey"
"248",248,"HELENE","AL072012","2012-08-18 12:00:00","21.9N","97.7W",0,30,1008,0,0,0,0,0,0,0,0,0,0,0,47.747,"2012","helene"
"249",249,"HELENE","AL122000","2000-09-22 12:00:00","30.5N","86.6W",0,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2000","helene"
"250",250,"HENRI","AL101985","1985-09-24 21:00:00","40.8N","72.5W",0,35,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985","henri"
"251",251,"HENRI","AL101985","1985-09-25 00:00:00","41.3N","71.8W",0,30,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985","henri"
"252",252,"HENRI","AL122003","2003-09-06 09:00:00","27.9N","82.8W",0,30,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003","henri"
"253",253,"HERMINE","AL081998","1998-09-20 05:00:00","29.1N","90.9W",0,35,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1998","hermine"
"254",254,"HERMINE","AL082004","2004-08-31 06:00:00","41.5N","70.9W",25,35,1012,0,25,0,0,0,0,0,0,0,0,0,39.97,"2004","hermine"
