"","date","hours","id","status","lat","lon","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_34_nw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","h_name"
"37","19800722","1200","","TD","25.1N","75.4W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"38","19800722","1800","","TD","26.2N","76.2W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"39","19800723","0000","","TD","27.0N","76.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"40","19800723","0600","","TD","28.2N","77.4W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"41","19800723","1200","","TD","29.3N","77.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"42","19800723","1800","","TD","30.8N","77.7W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"43","19800724","0000","","TD","31.8N","77.4W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"44","19800724","0600","","TD","33.0N","76.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"45","19800724","1200","","TD","34.0N","75.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"46","19800724","1800","","TD","35.1N","73.9W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"47","19800725","0000","","TD","36.0N","72.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"48","19800725","0600","","TD","36.5N","70.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"49","19800725","1200","","TD","37.0N","68.2W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"50","19800725","1800","","TD","37.2N","66.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"51","19800726","0000","","TD","37.6N","64.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"52","19800731","1200","","DB","11.0N","30.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"53","19800731","1800","","DB","10.9N","32.2W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"54","19800801","0000","","TD","10.8N","34.3W","30","1010","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"55","19800801","0600","","TD","10.7N","36.4W","30","1009","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"56","19800801","1200","","TD","10.7N","38.6W","30","1008","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"57","19800801","1800","","TD","10.7N","40.7W","30","1006","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"58","19800802","0000","","TS","11.0N","42.8W","35","1005","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"59","19800802","0600","","TS","11.4N","44.8W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"60","19800802","1200","","TS","11.9N","46.9W","55","995","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"61","19800802","1800","","TS","12.3N","49.1W","60","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"62","19800803","0000","","HU","12.4N","51.4W","65","985","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"63","19800803","0600","","HU","12.6N","53.6W","70","980","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"64","19800803","1200","","HU","12.8N","55.6W","80","975","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
